scheme, band, l, c0, c1, c2, c3, c4, c5, c6, c7, c8
A, f062, giant, 2.1443e-01, 2.2406e-01, 1.2538e-01, -1.0823e-02, 2.7542e-04, -1.0698e-02, 2.4599e-02, 4.2490e-03, -1.8883e-02
A, f062, dwarf, 6.9971e-02, 6.4619e-01, -3.3106e-01, 1.9284e-01, -3.1281e-02, -1.7547e-02, 2.0961e-02, -1.1741e-02, -1.2907e-03
A, f062, none, 1.7937e-01, 2.7718e-01, 9.7526e-02, -4.8688e-03, -1.8495e-04, -1.3936e-02, 2.2331e-02, 3.9563e-03, -1.7652e-02
A, f087, giant, 4.0865e-01, -9.0465e-03, -1.3014e-01, 2.9617e-02, -1.8606e-03, -1.7090e-03, -1.8018e-02, 7.4665e-03, -1.5184e-02
A, f087, dwarf, 5.8857e-01, -4.5032e-01, 2.9215e-01, -1.3640e-01, 1.9634e-02, 5.1727e-03, -5.9534e-02, 1.0434e-02, -8.8442e-03
A, f087, none, 5.0294e-01, -1.6636e-01, -3.4172e-02, 6.3195e-03, -4.7913e-05, 1.4919e-03, -3.7586e-02, 6.3608e-03, -7.2570e-03
A, f106, giant, 6.6461e-01, -3.1936e-01, -1.1747e-01, 2.7593e-02, -1.5514e-03, 1.9867e-02, -2.4485e-02, 1.6855e-02, -3.8064e-02
A, f106, dwarf, 7.5058e-01, -3.7957e-01, -1.6384e-01, 1.0554e-01, -2.3282e-02, 3.1106e-02, -6.7556e-02, 2.3596e-02, -4.1657e-02
A, f106, none, 7.9475e-01, -5.1036e-01, -9.6512e-03, 2.8938e-03, 2.7855e-04, 2.8974e-02, -4.8955e-02, 1.6106e-02, -2.9394e-02
A, f129, giant, 9.8735e-01, -7.1799e-01, -6.4932e-02, 2.6439e-02, -1.5977e-03, 4.0514e-02, 2.2566e-02, 2.6166e-02, -7.5062e-02
A, f129, dwarf, 8.6085e-01, 1.9830e-02, -1.0871e+00, 5.9161e-01, -1.0421e-01, 6.3404e-02, 1.9665e-02, 3.4048e-02, -1.0193e-01
A, f129, none, 1.1485e+00, -9.2493e-01, 3.6331e-02, 6.2492e-03, -2.2804e-04, 5.9192e-02, 9.3296e-03, 2.6896e-02, -7.2786e-02
A, f146, giant, 1.1713e+00, -8.4516e-01, -8.4283e-02, 3.8777e-02, -2.7450e-03, 6.6896e-02, 7.0205e-02, 2.6396e-02, -8.8315e-02
A, f146, dwarf, 8.7588e-01, 3.2005e-01, -1.5069e+00, 7.6732e-01, -1.2787e-01, 7.8943e-02, 3.6457e-02, 2.9757e-02, -9.1327e-02
A, f146, none, 1.2649e+00, -9.4187e-01, -4.0255e-02, 3.0875e-02, -2.3219e-03, 8.2497e-02, 4.8781e-02, 2.7604e-02, -8.4539e-02
A, f158, giant, 1.4721e+00, -1.2559e+00, 3.4257e-03, 3.1030e-02, -2.3833e-03, 9.7757e-02, 1.2725e-01, 3.2911e-02, -1.2084e-01
A, f158, dwarf, 9.7214e-01, 7.1224e-01, -2.4109e+00, 1.2429e+00, -2.0537e-01, 1.2368e-01, 1.6284e-01, 3.6118e-02, -1.5175e-01
A, f158, none, 1.6131e+00, -1.3880e+00, 4.1571e-02, 2.9271e-02, -2.5838e-03, 1.2374e-01, 1.3370e-01, 3.5758e-02, -1.2865e-01
A, f184, giant, 1.8190e+00, -1.4405e+00, -1.4922e-02, 4.3975e-02, -3.5362e-03, 1.1029e-01, 1.7615e-01, 3.6202e-02, -1.4241e-01
A, f184, dwarf, 1.1583e+00, 1.0074e+00, -2.9341e+00, 1.4840e+00, -2.4145e-01, 1.3871e-01, 1.9334e-01, 3.6470e-02, -1.5877e-01
A, f184, none, 1.9300e+00, -1.5106e+00, -1.3234e-02, 5.0943e-02, -4.4548e-03, 1.3969e-01, 1.7823e-01, 3.9738e-02, -1.5031e-01
A, f213, giant, 2.0613e+00, -1.4044e+00, -5.0473e-02, 4.9273e-02, -3.8033e-03, 1.1130e-01, 1.6070e-01, 3.8248e-02, -1.4346e-01
A, f213, dwarf, 1.4909e+00, 7.3500e-01, -2.6136e+00, 1.3262e+00, -2.1756e-01, 1.2617e-01, 1.5430e-01, 4.0241e-02, -1.5275e-01
A, f213, none, 2.1765e+00, -1.4925e+00, -3.1803e-02, 5.0981e-02, -4.2772e-03, 1.3476e-01, 1.5322e-01, 4.1058e-02, -1.4702e-01
A, prism, giant, 9.4260e-01, -6.0560e-01, -1.0765e-01, 3.7400e-02, -2.5646e-03, 4.8747e-02, 3.8357e-02, 2.0996e-02, -6.5647e-02
A, prism, dwarf, 7.6720e-01, 1.0887e-01, -9.8618e-01, 4.9888e-01, -8.3934e-02, 5.6119e-02, -1.3181e-02, 2.4431e-02, -6.0861e-02
A, prism, none, 1.0153e+00, -6.8957e-01, -6.0768e-02, 2.6955e-02, -1.8707e-03, 5.9360e-02, 1.0106e-02, 2.1442e-02, -5.8297e-02
A, grism, giant, 1.1863e+00, -9.0082e-01, -6.2392e-02, 3.4427e-02, -2.4111e-03, 6.6972e-02, 7.0624e-02, 2.7704e-02, -9.1919e-02
A, grism, dwarf, 8.8655e-01, 3.3064e-01, -1.5926e+00, 8.2194e-01, -1.3787e-01, 8.4298e-02, 5.6393e-02, 3.2047e-02, -1.0529e-01
A, grism, none, 1.3035e+00, -1.0273e+00, -7.7902e-03, 2.5233e-02, -1.9204e-03, 8.5412e-02, 5.6177e-02, 2.9121e-02, -9.0641e-02
A, prism_b8, giant, 4.6516e-01, -7.7828e-02, -1.3133e-01, 2.7137e-02, -1.5519e-03, 6.6240e-03, -3.3058e-02, 8.9019e-03, -1.4985e-02
A, prism_b8, dwarf, 6.9334e-01, -6.3267e-01, 3.7945e-01, -1.6535e-01, 2.2035e-02, -6.6057e-04, -6.3344e-02, 1.4644e-02, -1.8469e-02
A, prism_b8, none, 5.8462e-01, -2.7946e-01, -1.0877e-02, -1.7377e-03, 7.1124e-04, 4.7210e-03, -5.0078e-02, 7.7099e-03, -7.6512e-03
A, prism_r8, giant, 1.0180e+00, -7.6944e-01, -4.5986e-02, 2.2925e-02, -1.3515e-03, 3.9194e-02, 2.3733e-02, 2.6726e-02, -7.6941e-02
A, prism_r8, dwarf, 9.1175e-01, -5.4708e-02, -1.0909e+00, 6.2001e-01, -1.1169e-01, 5.0140e-02, 4.9089e-02, 3.8270e-02, -1.2439e-01
A, prism_r8, none, 1.1964e+00, -1.0042e+00, 6.8486e-02, 1.7075e-04, 2.3162e-04, 5.4063e-02, 1.6942e-02, 2.7844e-02, -7.7408e-02
A, grism_b8, giant, 7.1595e-01, -4.3025e-01, -6.1708e-02, 1.5683e-02, -6.6740e-04, 2.3739e-02, -2.3918e-02, 1.7327e-02, -3.9812e-02
A, grism_b8, dwarf, 7.1906e-01, -2.1844e-01, -3.9993e-01, 2.2441e-01, -4.2800e-02, 3.5511e-02, -5.7583e-02, 2.2874e-02, -4.5037e-02
A, grism_b8, none, 8.4783e-01, -6.0434e-01, 2.6945e-02, -2.9465e-03, 6.1070e-04, 3.5652e-02, -4.3202e-02, 1.6934e-02, -3.3309e-02
A, grism_r8, giant, 1.7949e+00, -1.3823e+00, -4.7876e-02, 5.1410e-02, -4.0887e-03, 1.2725e-01, 1.7205e-01, 3.7330e-02, -1.4413e-01
A, grism_r8, dwarf, 1.1335e+00, 1.0380e+00, -2.9338e+00, 1.4847e+00, -2.4261e-01, 1.1585e-01, 1.7100e-01, 3.9805e-02, -1.5862e-01
A, grism_r8, none, 1.9001e+00, -1.4558e+00, -3.5627e-02, 5.4322e-02, -4.6326e-03, 1.4233e-01, 1.6353e-01, 4.0644e-02, -1.4845e-01
B, f062, giant, 2.1898e-01, 2.3119e-01, 1.1975e-01, -1.1227e-02, 1.8459e-04, 0.0, 0.0, 0.0, 0.0
B, f062, dwarf, 1.0059e-01, 5.5561e-01, -2.2908e-01, 1.4793e-01, -2.4700e-02, 0.0, 0.0, 0.0, 0.0
B, f062, none, 1.7116e-01, 3.0045e-01, 8.4891e-02, -3.9733e-03, -3.4576e-04, 0.0, 0.0, 0.0, 0.0
B, f087, giant, 4.4489e-01, -1.2656e-02, -1.7097e-01, 4.2488e-02, -3.2111e-03, 0.0, 0.0, 0.0, 0.0
B, f087, dwarf, 5.1446e-01, -1.9324e-01, -1.5732e-02, -8.2448e-03, 2.4341e-03, 0.0, 0.0, 0.0, 0.0
B, f087, none, 4.6180e-01, -4.5151e-02, -1.5013e-01, 3.7244e-02, -2.7668e-03, 0.0, 0.0, 0.0, 0.0
B, f106, giant, 6.8852e-01, -2.5508e-01, -2.3559e-01, 6.0223e-02, -4.7899e-03, 0.0, 0.0, 0.0, 0.0
B, f106, dwarf, 6.0898e-01, 8.2191e-02, -6.8642e-01, 3.1154e-01, -4.9514e-02, 0.0, 0.0, 0.0, 0.0
B, f106, none, 7.0631e-01, -2.6156e-01, -2.3948e-01, 6.2219e-02, -5.0079e-03, 0.0, 0.0, 0.0, 0.0
